,short_name,nationality,club,age,wage_eur,value_eur,defending_standing_tackle,dribbling,movement_reactions,movement_reactions,attacking_short_passing,mentality_vision,value_pred
2353,O. Hiljemark,Sweden,Genoa,27,15000,6500000,71,72.0,71,71,77,69,6113000.0
2354,D. Foulquier,France,Watford,26,49000,6500000,75,75.0,75,75,73,66,8172000.0
2358,Jairo,Spain,Hamburger SV,25,13000,6500000,31,78.0,71,71,71,67,6194500.0
2359,A. Ciciretti,Italy,Napoli,25,44000,6500000,26,75.0,66,66,76,74,5941500.0
2360,J. Ferri,France,Montpellier HSC,27,27000,6500000,70,73.0,76,76,76,71,6190500.0
2361,J. Damm,Mexico,Tigres U.A.N.L.,26,53000,6500000,35,74.0,70,70,70,60,4525375.0
2364,F. Zuqui,Argentina,Club Atlético Colón,27,13000,6500000,62,75.0,72,72,78,72,6664500.0
2366,Álvaro García,Spain,Rayo Vallecano,26,8000,6500000,22,73.0,78,78,68,69,4756625.0
2368,S. Adamyan,Armenia,TSG 1899 Hoffenheim,26,28000,6500000,25,76.0,71,71,73,69,6765500.0
2371,Z. Ferhat,Algeria,Nîmes Olympique,26,20000,6500000,30,73.0,66,66,74,73,3117000.0
2375,Fábio Martins,Portugal,Famalicão,25,11000,6500000,48,80.0,74,74,70,72,6681000.0
2378,J. Zmrhal,Czech Republic,Brescia,25,13000,6500000,58,72.0,71,71,73,69,4938375.0
2381,Tarantini,Portugal,Rio Ave FC,35,7000,2400000,71,70.0,75,75,76,77,3789375.0
2386,M. Rodríguez,Argentina,Newell's Old Boys,38,13000,1900000,30,75.0,72,72,78,74,8237500.0
2389,F. Belluschi,Argentina,San Lorenzo de Almagro,35,14000,2500000,66,73.0,71,71,73,80,4033000.0
2392,F. Magnanelli,Italy,Sassuolo,34,37000,2200000,76,62.0,72,72,72,70,2506350.0
2394,S. Davis,Northern Ireland,Rangers FC,34,43000,2700000,66,74.0,77,77,79,75,4650500.0
2395,A. Lennon,England,Burnley,32,30000,4400000,50,79.0,74,74,72,73,5544500.0
2397,I. Afellay,Netherlands,PSV,33,15000,3400000,67,77.0,71,71,77,72,4622500.0
2400,G. İnler,Switzerland,Medipol Başakşehir FK,35,20000,1800000,76,69.0,67,67,74,73,2750500.0
2401,Jurado,Spain,Cádiz CF,33,10000,3400000,26,75.0,73,73,75,75,4117500.0
2406,S. Larsson,Sweden,AIK,34,10000,2700000,62,68.0,76,76,76,71,3223875.0
2407,S. M'Bia,Cameroon,Wuhan Zall,33,10000,2700000,74,66.0,68,68,75,64,3334500.0
2409,S. Sinclair,England,Celtic,30,43000,5500000,33,76.0,74,74,71,66,5446000.0
2414,P. Mouche,Argentina,Colo-Colo,31,8000,4900000,12,74.0,72,72,71,66,4276000.0
2416,P. Hetemaj,Finland,Chievo Verona,32,5000,4300000,72,73.0,75,75,74,73,4775000.0
2419,O. Trejo,Argentina,Rayo Vallecano,31,8000,4800000,66,78.0,75,75,71,76,7168000.0
2420,L. Cigarini,Italy,Cagliari,33,27000,3300000,66,73.0,68,68,80,77,4332250.0
2427,S. Missiroli,Italy,SPAL,33,13000,3300000,72,71.0,75,75,77,72,4660500.0
2429,Bojan,Spain,Montreal Impact,28,8000,5500000,22,75.0,70,70,76,73,5349500.0
2433,H. Medunjanin,Bosnia Herzegovina,Philadelphia Union,34,8000,2700000,71,72.0,72,72,78,75,4000500.0
2434,G. Svensson,Sweden,Seattle Sounders FC,32,7000,3700000,73,64.0,74,74,75,64,4503625.0
2436,N. Bertolo,Argentina,Club Atlético Banfield,33,14000,3400000,28,75.0,66,66,75,76,4362500.0
2438,K. Grosicki,Poland,Hull City,31,14000,4900000,29,74.0,70,70,68,75,4584250.0
2439,A. Aguilar,Colombia,Unión Magdalena,34,2000,2200000,78,64.0,73,73,73,68,2687775.0
2441,L. Deaux,France,En Avant de Guingamp,30,8000,4600000,75,66.0,67,67,76,69,4171000.0
2442,L. Christodoulopoulos,Greece,Olympiacos CFP,32,1000,4400000,55,78.0,71,71,71,68,5356500.0
2443,Ivo,Brazil,Henan Jianye FC,32,13000,4300000,47,73.0,70,70,78,79,4074375.0
2444,S. Arfield,Canada,Rangers FC,30,43000,5000000,63,73.0,72,72,75,74,3732500.0
2445,Adrián González,Spain,Málaga CF,31,10000,4800000,70,75.0,78,78,71,71,5436125.0
2449,H. Saivet,Senegal,Newcastle United,28,34000,5500000,67,75.0,72,72,73,76,5656000.0
2451,F. Frei,Switzerland,FC Basel 1893,30,21000,4600000,70,71.0,72,72,76,78,4509375.0
2452,B. Bannan,Scotland,Sheffield Wednesday,29,26000,5500000,46,75.0,72,72,76,77,6018000.0
2454,N. Müller,Germany,Eintracht Frankfurt,31,28000,4900000,49,79.0,72,72,70,69,5025250.0
2456,Sergio Tejera,Spain,Real Oviedo,29,11000,5500000,71,72.0,71,71,75,75,5613000.0
2457,H. Arter,Republic of Ireland,Fulham,29,38000,5500000,73,70.0,72,72,78,72,5929000.0
2458,Fábio Pacheco,Portugal,Moreirense FC,31,10000,4300000,76,64.0,74,74,75,68,6412975.0
2464,Dentinho,Brazil,Shakhtar Donetsk,30,1000,5500000,46,76.0,73,73,72,71,5216500.0
2466,Montoro,Spain,Granada CF,31,17000,4300000,72,67.0,68,68,76,74,4169875.0
2468,J. Dueñas,Mexico,Tigres U.A.N.L.,30,53000,5000000,71,72.0,72,72,74,70,4497100.0
2471,A. Chahechouhe,Morocco,Antalyaspor,32,16000,4400000,27,76.0,72,72,75,65,4936000.0
2476,M. Valdifiori,Italy,SPAL,33,12000,2700000,70,74.0,71,71,82,80,4668000.0
2477,A. N'Diaye,Senegal,Málaga CF,29,10000,5500000,71,70.0,73,73,78,75,5474000.0
2478,Alex Bergantiños,Spain,Deportivo de La Coruña,34,8000,2200000,76,62.0,75,75,70,70,5208125.0
2481,M. Risse,Germany,1. FC Köln,29,24000,5500000,70,73.0,75,75,72,71,4397000.0
2483,J. Hoilett,Canada,Cardiff City,29,26000,5500000,39,77.0,70,70,68,73,5417000.0
2484,M. Ekici,Turkey,Fenerbahçe SK,29,51000,5500000,58,74.0,65,65,77,74,5237875.0
2485,J. Hušbauer,Czech Republic,SK Slavia Praha,29,1000,5500000,60,73.0,77,77,75,78,4995000.0
2489,Míchel,Spain,Real Valladolid CF,30,18000,5000000,52,73.0,75,75,83,78,6982500.0
2490,O. Martínez,Paraguay,Club Atlas,33,19000,3300000,62,74.0,72,72,74,76,3889000.0
2491,Pedro Sánchez,Spain,Deportivo de La Coruña,32,9000,4400000,34,74.0,61,61,70,67,3595750.0
2495,Sandro,Brazil,Genoa,30,14000,4600000,73,68.0,70,70,72,70,3742750.0
2496,C. Borges,Costa Rica,Göztepe SK,31,20000,4300000,73,68.0,75,75,76,71,4847250.0
2498,G. Töre,Turkey,Yeni Malatyaspor,27,14000,6000000,38,78.0,58,58,73,71,6478000.0
2499,S. Sow,Mali,Nottingham Forest,30,34000,4600000,76,73.0,69,69,78,71,5395500.0
2500,A. Bedoya,United States,Philadelphia Union,32,8000,4300000,61,71.0,76,76,80,69,4999000.0
2506,F. Rinaudo,Argentina,Rosario Central,32,14000,3700000,70,70.0,69,69,73,64,3017375.0
2513,C. Clemens,Germany,1. FC Köln,27,23000,6000000,49,72.0,73,73,73,73,5148500.0
2515,J. Obi,Nigeria,Chievo Verona,28,5000,5500000,75,78.0,75,75,76,72,6429000.0
2517,C. Hourihane,Republic of Ireland,Aston Villa,28,47000,5500000,71,69.0,71,71,77,76,5362500.0
2518,S. Ilsanker,Austria,RB Leipzig,30,35000,4600000,76,52.0,78,78,71,56,4761200.0
2520,M. Leckie,Australia,Hertha BSC,28,24000,5500000,48,74.0,70,70,68,65,4484250.0
2521,Iñigo Pérez,Spain,CA Osasuna,31,23000,4300000,75,66.0,65,65,77,74,4212875.0
2522,Anselmo,Brazil,Al Wehda,30,20000,4600000,78,66.0,72,72,74,62,4751750.0
2523,J. Toornstra,Netherlands,Feyenoord,30,13000,5500000,54,71.0,74,74,77,73,4909500.0
2526,R. Amalfitano,France,Dijon FCO,29,14000,5500000,74,72.0,76,76,75,75,6077000.0
2528,B. Dabo,Burkina Faso,Fiorentina,27,40000,6000000,76,73.0,68,68,77,68,4790500.0
2531,Ilie Sánchez,Spain,Sporting Kansas City,28,8000,5000000,69,71.0,75,75,77,66,4296500.0
2532,A. Christiansen,Denmark,Malmö FF,29,9000,5500000,63,75.0,74,74,72,74,5601000.0
2533,Alan Patrick,Brazil,Shakhtar Donetsk,28,1000,5500000,53,78.0,71,71,76,67,6181000.0
2539,Diego,Brazil,Deportivo Toluca,31,21000,4900000,48,75.0,69,69,76,77,5325000.0
2544,T. Serero,South Africa,Vitesse,29,18000,5500000,70,78.0,76,76,82,71,7280500.0
2545,T. Bifouma,Congo,Yeni Malatyaspor,27,14000,6000000,23,77.0,72,72,67,65,5658500.0
2546,M. Bakalorz,Germany,Hannover 96,29,24000,4800000,74,66.0,72,72,71,65,3046950.0
2547,Juan Carlos,Spain,SD Huesca,28,9000,5500000,49,73.0,71,71,73,76,4920500.0
2549,Y. Yotún,Peru,Cruz Azul,29,23000,5500000,63,74.0,70,70,77,79,6010375.0
2554,J. Kopic,Czech Republic,Viktoria Plzeň,29,1000,5500000,38,76.0,68,68,70,73,5706250.0
2555,C. Atsu,Ghana,Newcastle United,27,33000,6000000,33,77.0,72,72,71,70,6016500.0
2556,H. Canteros,Argentina,MKE Ankaragücü,30,20000,5000000,74,71.0,68,68,73,77,4097300.0
2560,Pedro Henrique,Brazil,Kayserispor,29,14000,5500000,27,78.0,67,67,71,68,5628500.0
2562,P. Capelle,France,Angers SCO,32,20000,4400000,69,74.0,75,75,74,72,5362000.0
2563,Jozabed,Spain,RC Celta,28,21000,5500000,64,72.0,71,71,78,79,3823125.0
2565,P. De Blasis,Argentina,SD Eibar,31,20000,4900000,55,79.0,68,68,73,66,5356500.0
2566,A. Chumacero,Bolivia,Puebla FC,28,9000,5500000,64,74.0,71,71,78,72,5577500.0
2569,A. Hahn,Germany,FC Augsburg,28,22000,5500000,56,66.0,77,77,64,71,3845875.0
2571,D. Lazović,Serbia,Hellas Verona,28,16000,5500000,49,76.0,64,64,74,68,5580000.0
2573,F. Bachirou,Comoros,Malmö FF,29,8000,4800000,78,77.0,78,78,67,63,4917225.0
2574,D. Rodríguez,Uruguay,Defensa y Justicia,29,12000,4800000,75,66.0,72,72,73,62,4520000.0
2580,A. Ricaurte,Colombia,Independiente Medellín,27,4000,6000000,71,71.0,72,72,81,81,6389000.0
2582,D. González,Argentina,Racing Club,31,18000,4800000,71,70.0,74,74,75,73,5232000.0
2585,L. Villafañez,Argentina,Monarcas Morelia,27,11000,6000000,31,77.0,69,69,73,70,6627500.0
2586,B. Alemán,Uruguay,Gimnasia y Esgrima La Plata,29,15000,5500000,66,74.0,66,66,76,75,5332750.0
2588,E. Kalinski,Argentina,Estudiantes de La Plata,32,14000,3700000,73,70.0,65,65,78,73,3421250.0
2591,R. Botta,Argentina,San Lorenzo de Almagro,29,19000,5500000,37,75.0,68,68,71,79,5352000.0
2592,L. Zelarayán,Argentina,Tigres U.A.N.L.,27,53000,6000000,43,77.0,69,69,73,78,6430000.0
2593,D. Kreilach,Croatia,Real Salt Lake,30,8000,5000000,66,70.0,79,79,73,69,3919000.0
2594,Idris,Senegal,Boavista FC,34,6000,2200000,76,63.0,73,73,72,59,3226750.0
2597,Edgar Méndez,Spain,Cruz Azul,28,23000,5500000,45,70.0,64,64,72,70,4058750.0
2599,S. Vilakazi,South Africa,South Africa,29,0,0,42,74.0,72,72,73,71,1116000.0
2602,Eraso,Spain,CD Leganés,29,26000,5500000,64,69.0,80,80,79,72,5939833.333333332
2613,Robson Denho,Brazil,Avaí FC,27,14000,5000000,76,63.0,68,68,74,77,4438025.0
2614,Claudiano Sobrino,Brazil,Chapecoense,35,10000,1800000,69,72.0,79,79,76,76,3457000.0
2615,Edvaldisco,Brazil,Botafogo,27,18000,5000000,77,71.0,81,81,72,76,4805000.0
2616,Sebas Couteira,Brazil,Atlético Paranaense,31,14000,4900000,52,73.0,74,74,76,73,4746000.0
2617,Kauã Abranches,Brazil,Fortaleza,35,9000,2500000,58,74.0,81,81,70,71,3142500.0
2618,Nicolás Formido,Brazil,Internacional,31,23000,4900000,29,74.0,78,78,75,75,6072000.0
2625,Edercinho Sepa,Brazil,Grêmio,31,22000,4300000,76,67.0,82,82,76,63,4994791.666666666
2626,Pascoal Muscato,Brazil,Santos,27,28000,5000000,76,70.0,74,74,75,66,5953000.0
2627,Elias Fontoira,Brazil,Internacional,35,15000,1800000,67,73.0,76,76,73,77,3895000.0
2628,Fábio Melitinho,Brazil,Fluminense,35,18000,2500000,33,74.0,76,76,74,75,5561000.0
2629,Marlon Nideiro,Brazil,Grêmio,35,18000,2500000,24,77.0,80,80,75,74,4477500.0
2630,Jacson Zonta,Brazil,Goiás,35,9000,2500000,21,74.0,77,77,72,77,3832000.0
2631,Leo Caldeirinha,Brazil,Goiás,35,9000,2500000,24,75.0,70,70,73,76,6464000.0
2632,Alvildo Sousa,Brazil,Avaí FC,35,11000,2500000,31,73.0,82,82,75,76,5273750.0
2637,N. Silva,Argentina,Argentinos Juniors,29,12000,5500000,15,78.0,65,65,71,67,5618500.0
2639,Caio Milaçar,Brazil,Ceará Sporting Club,35,9000,2500000,32,76.0,74,74,75,76,3911000.0
2640,Salvi Sánchez,Spain,Cádiz CF,28,10000,5500000,39,72.0,65,65,70,74,4443875.0
2646,E. Sarić,Bosnia Herzegovina,Al Ahli,28,33000,5500000,70,72.0,68,68,76,76,5166375.0
2647,I. Traoré,Ivory Coast,SK Slavia Praha,30,1000,5000000,72,74.0,74,74,73,72,5117500.0
2648,J. Kayamba,DR Congo,Viktoria Plzeň,27,1000,6000000,29,79.0,69,69,70,65,6170500.0
2654,I. Akhmetov,Russia,PFC CSKA Moscow,21,1000,7000000,61,76.0,72,72,78,75,7130500.0
2656,M. Shaparenko,Ukraine,Dynamo Kyiv,20,1000,7000000,67,73.0,72,72,75,75,4899500.0
2663,Maycon,Brazil,Shakhtar Donetsk,21,1000,7000000,67,70.0,73,73,76,76,5617375.0
2664,I. Oblyakov,Russia,PFC CSKA Moscow,20,1000,7000000,53,76.0,67,67,73,75,6642500.0
2666,Óscar,Spain,CD Leganés,21,17000,7000000,47,76.0,73,73,72,73,5494500.0
2667,Stephen Eustáquio,Portugal,Cruz Azul,22,16000,6500000,72,71.0,73,73,76,72,6042500.0
2671,Fede,Spain,Real Valladolid CF,22,13000,6000000,70,65.0,72,72,75,65,4777125.0
2675,M. Camara,Guinea,Olympiacos CFP,22,1000,6000000,74,70.0,68,68,69,60,4716750.0
2676,Léo Jabá,Brazil,PAOK,20,1000,6500000,20,74.0,68,68,66,65,5189500.0
2678,L. Majer,Croatia,Dinamo Zagreb,21,1000,6500000,34,77.0,63,63,74,77,6578000.0
2679,M. Mittelstädt,Germany,Hertha BSC,22,19000,6000000,72,75.0,72,72,73,60,5945500.0
2680,A. Ćorić,Croatia,Roma,22,26000,6000000,38,76.0,72,72,73,73,5908500.0
2683,M. Pereira Lage,Portugal,Angers SCO,22,16000,6000000,49,73.0,59,59,73,72,4471925.0
2684,S. Grandsir,France,Stade Brestois 29,22,14000,6000000,39,76.0,65,65,72,65,5699000.0
2686,M. Richter,Germany,FC Augsburg,21,15000,6000000,25,77.0,74,74,68,62,5711000.0
2688,N. De la Cruz,Uruguay,River Plate,22,16000,6000000,42,75.0,66,66,73,74,4308000.0
2691,L. Boyé,Argentina,Reading,23,16000,6000000,36,78.0,69,69,74,71,6234500.0
2696,L. Haraslín,Slovakia,Lechia Gdańsk,23,7000,6000000,41,75.0,65,65,68,68,3463875.0
2700,M. Cafaro,France,Stade de Reims,22,20000,6000000,41,76.0,69,69,72,69,5724500.0
2708,T. Bašić,Croatia,FC Girondins de Bordeaux,22,21000,6000000,71,71.0,70,70,75,74,5511000.0
2709,Y. Benzia,Algeria,LOSC Lille,24,25000,5500000,46,75.0,68,68,71,75,5365000.0
2711,R. Bazoer,Netherlands,Vitesse,22,14000,5500000,63,75.0,75,75,78,71,6453000.0
2716,B. Celina,Kosovo,Swansea City,22,20000,5500000,27,75.0,67,67,70,75,4884000.0
2717,B. Mensah,Ghana,Kayserispor,24,11000,5500000,62,75.0,67,67,74,69,4035000.0
2719,P. Olayinka,Nigeria,SK Slavia Praha,23,1000,5500000,40,72.0,72,72,70,67,4306250.0
2722,U. Agbo,Nigeria,Standard de Liège,23,11000,5000000,74,66.0,71,71,71,60,3951125.0
2723,André Horta,Portugal,SC Braga,22,10000,5500000,67,77.0,72,72,77,74,5952000.0
2731,U. Račić,Serbia,Famalicão,21,7000,5000000,74,67.0,65,65,74,68,4091300.0
2733,Luca Sangalli,Spain,Real Sociedad,24,18000,5500000,65,75.0,68,68,77,65,5421500.0
2734,G. Zahid,Norway,Panathinaikos FC,24,1000,5500000,30,75.0,69,69,74,75,6243000.0
2736,H. Mukhtar,Germany,Brøndby IF,24,15000,5500000,42,78.0,70,70,74,72,6204500.0
2737,L. Phiri,South Africa,En Avant de Guingamp,24,6000,5000000,74,73.0,71,71,75,69,5714000.0
2739,O. Ntcham,France,Celtic,23,34000,5500000,72,73.0,63,63,75,71,4523500.0
2743,A. Blin,France,Amiens SC,22,12000,5000000,74,65.0,74,74,73,68,4485600.0
2745,D. Blanco,Argentina,Independiente,24,15000,5500000,63,81.0,74,74,76,69,7527500.0
2750,Arana,Brazil,Sevilla FC,22,12000,5500000,70,74.0,75,75,75,61,6150000.0
2754,C. Roldan,United States,Seattle Sounders FC,24,6000,5000000,71,71.0,70,70,73,68,4584000.0
2755,A. De Sart,Belgium,Royal Antwerp FC,22,9000,5500000,70,70.0,69,69,73,71,4572250.0
2757,Álvaro Jiménez,Spain,Albacete BP,24,7000,5500000,39,73.0,66,66,69,69,4329000.0
2759,S. Plavšić,Serbia,Sparta Praha,23,1000,5500000,28,76.0,70,70,67,65,5034500.0
2760,Dani Raba,Spain,SD Huesca,23,7000,5500000,36,74.0,65,65,73,70,4434500.0
2763,J. Ibe,England,Bournemouth,23,39000,5500000,45,78.0,65,65,73,69,5548000.0
2768,Moi Gómez,Spain,Villarreal CF,25,23000,5000000,47,76.0,68,68,79,71,4843000.0
2770,Mattheus Oliveira,Brazil,Sporting CP,24,9000,5500000,62,74.0,66,66,78,74,5629000.0
2771,Eugeni,Spain,SD Huesca,24,7000,5500000,59,73.0,68,68,75,72,4783500.0
2773,M. Stendera,Germany,Eintracht Frankfurt,23,22000,5500000,66,76.0,72,72,77,75,6168500.0
2775,L. Öztunalı,Germany,1. FSV Mainz 05,23,19000,5500000,50,77.0,71,71,68,64,5161500.0
2776,R. Walter,France,OGC Nice,24,21000,5500000,69,73.0,71,71,75,78,4959500.0
2784,M. Ilaimaharitra,Madagascar,Sporting de Charleroi,23,10000,4900000,72,68.0,69,69,73,66,4036500.0
2787,O. Tufan,Turkey,Fenerbahçe SK,24,35000,4900000,72,72.0,70,70,73,67,4677000.0
2788,D. Toköz,Turkey,Beşiktaş JK,23,35000,4900000,72,70.0,69,69,76,60,4569500.0
2790,A. Zambo Anguissa,Cameroon,Villarreal CF,23,18000,4900000,75,69.0,69,69,73,72,4226000.0
2791,B. Ramselaar,Netherlands,PSV,23,12000,5500000,52,74.0,74,74,75,69,5195000.0
2793,J. Mišić,Croatia,PAOK,25,1000,5000000,65,74.0,72,72,76,74,5166000.0
2797,P. Aquino,Peru,Club León,24,18000,4900000,68,67.0,68,68,75,66,3774250.0
2798,R. Koch,Germany,SC Freiburg,22,15000,4900000,74,60.0,70,70,75,65,4748800.0
2812,Diego Lopes,Brazil,Rio Ave FC,25,8000,5000000,53,76.0,73,73,72,73,5588500.0
2813,T. Murg,Austria,SK Rapid Wien,24,14000,5000000,44,75.0,75,75,68,68,4451125.0
2817,P. Arriola,United States,DC United,24,6000,5000000,64,73.0,68,68,68,70,1549250.0
2819,M. Sobottka,Germany,Fortuna Düsseldorf,25,20000,4700000,72,67.0,72,72,71,59,3611875.0
2822,Hernani,Brazil,Parma,25,28000,4700000,74,71.0,71,71,73,67,4570675.0
2825,J. Góralski,Poland,Poland,26,0,0,70,67.0,64,64,70,65,517750.0
2829,Vesga,Spain,Athletic Club de Bilbao,26,18000,4900000,74,65.0,72,72,75,75,4670375.0
2833,Álex Fernández,Spain,Cádiz CF,26,9000,5000000,69,73.0,68,68,81,76,6761000.0
2841,A. Bakasetas,Greece,Alanyaspor,26,13000,5000000,33,69.0,65,65,76,75,3783500.0
2843,D. Moberg Karlsson,Sweden,Sparta Praha,25,1000,5000000,24,75.0,69,69,65,64,4439875.0
2851,K. Karaman,Turkey,Fortuna Düsseldorf,25,22000,5000000,24,76.0,70,70,72,64,5233000.0
2853,Tiago Silva,Portugal,Nottingham Forest,26,34000,5000000,58,75.0,73,73,74,74,5758500.0
2857,Y. Gordillo,Colombia,Deportes Tolima,27,4000,4400000,71,63.0,72,72,73,61,3780950.0
2860,Lucas Evangelista,Brazil,FC Nantes,24,18000,5000000,70,71.0,75,75,76,74,5182875.0
2861,J. Añor,Venezuela,Málaga CF,25,9000,5000000,45,74.0,64,64,74,72,4302500.0
2864,A. Esiti,Nigeria,PAOK,25,1000,4500000,76,54.0,68,68,69,56,3729150.0
2868,B. Perlaza,Colombia,Atlético Nacional,27,5000,4400000,72,65.0,76,76,68,65,2658000.0
2870,B. Lozano,Uruguay,Santos Laguna,25,17000,5000000,38,77.0,54,54,75,62,5334500.0
2871,Jamiro Monteiro,Cape Verde,Philadelphia Union,25,7000,4900000,68,76.0,65,65,75,67,5014500.0
2874,M. Siopis,Greece,Alanyaspor,25,11000,4500000,77,64.0,67,67,70,59,4210000.0
2875,J. Gressel,Germany,Atlanta United,25,7000,5000000,64,71.0,70,70,71,72,4065500.0
2877,G. Masouras,Greece,Olympiacos CFP,25,1000,5000000,33,73.0,70,70,71,67,3044500.0
2880,M. Abeid,Algeria,FC Nantes,26,19000,4300000,69,75.0,71,71,76,68,5112500.0
2882,M. Çağıran,Turkey,Alanyaspor,26,11000,4300000,71,71.0,72,72,73,70,4198175.0
2885,M. Leitner,Germany,Norwich City,26,36000,4800000,67,74.0,69,69,76,74,5030000.0
2887,T. Trybull,Germany,Norwich City,26,33000,4300000,75,66.0,65,65,75,63,4070000.0
2888,K. Frei,Turkey,Medipol Başakşehir FK,25,27000,4900000,30,78.0,65,65,68,64,3745500.0
2890,M. Luongo,Australia,Sheffield Wednesday,26,21000,4300000,75,71.0,72,72,69,66,3921125.0
2891,A. Pritchard,England,Huddersfield Town,26,27000,4800000,48,75.0,65,65,75,75,4915375.0
2892,Y. Chibsah,Ghana,Gazişehir Gaziantep F.K.,26,13000,4800000,72,73.0,77,77,75,62,5300500.0
2895,W. Vaulks,Wales,Cardiff City,25,20000,4400000,75,64.0,71,71,68,71,3389375.0
2896,T. Lawrence,Wales,Derby County,25,22000,4900000,35,73.0,67,67,70,72,2528500.0
2898,C. Baeza,Chile,Club Necaxa,25,11000,4800000,69,72.0,69,69,73,70,2273125.0
2902,P. Žulj,Austria,RSC Anderlecht,26,16000,4800000,66,72.0,61,61,75,74,2167850.0
2903,I. Chochev,Bulgaria,Pescara,26,5000,4800000,68,71.0,63,63,76,71,2956000.0
2904,S. Gümüş,Germany,Genoa,25,14000,4900000,31,76.0,70,70,67,72,5012000.0
2905,Pere Milla,Spain,Elche CF,26,7000,4800000,30,76.0,68,68,72,69,5674500.0
2907,L. Freeman,England,Sheffield United,27,27000,4600000,60,75.0,65,65,71,76,4362000.0
2909,J. Fleck,Scotland,Sheffield United,27,27000,4500000,67,75.0,72,72,72,75,5469000.0
2912,R. Yabo,Germany,DSC Arminia Bielefeld,27,14000,4500000,63,76.0,71,71,73,72,6613000.0
2919,P. Kasami,Switzerland,FC Sion,27,25000,4600000,64,71.0,74,74,73,75,4114375.0
2920,M. Vydra,Czech Republic,Burnley,27,27000,4600000,28,73.0,73,73,69,70,3112750.0
2923,O. Rashid,Iraq,Santa Clara,27,6000,4500000,63,74.0,77,77,75,74,5474000.0
2924,A. Musa,Nigeria,Al Nassr,26,29000,4700000,28,73.0,71,71,65,65,3826250.0
2925,O. Hernández,Germany,Norwich City,26,36000,4700000,38,77.0,66,66,66,69,4604000.0
2927,P. Ceppelini,Uruguay,Atlético Nacional,27,5000,4600000,52,76.0,60,60,77,74,4768500.0
2928,D. Pavelka,Czech Republic,Kasimpaşa SK,28,12000,4000000,70,69.0,71,71,75,65,3287000.0
2933,G. Brugman,Uruguay,Parma,26,32000,4600000,60,73.0,72,72,76,75,4194000.0
2934,A. Poko,Gabon,Göztepe SK,26,18000,4200000,74,74.0,75,75,70,70,4645000.0
2941,J. Bela,France,Albacete BP,26,8000,4700000,27,77.0,66,66,66,50,4772500.0
2946,L. Gil,Argentina,Rosario Central,28,14000,4000000,70,71.0,58,58,78,77,2289500.0
2948,G. Di Lorenzo,Italy,Napoli,25,40000,4800000,73,74.0,75,75,73,64,5908125.0
2949,M. Oršić,Croatia,Dinamo Zagreb,26,1000,4700000,50,75.0,70,70,65,63,4208250.0
2950,Lee Jae Sung,Korea Republic,Holstein Kiel,26,13000,4700000,56,75.0,72,72,76,79,5523000.0
2951,M. Jojić,Serbia,Medipol Başakşehir FK,27,28000,4500000,52,75.0,70,70,76,71,4675500.0
2953,Sidcley,Brazil,Dynamo Kyiv,26,1000,4700000,80,78.0,68,68,74,69,6812000.0
2957,C. Ninga,Chad,Angers SCO,26,19000,4700000,25,70.0,70,70,69,64,3440000.0
2960,K. Schindler,Ghana,1. FC Köln,25,21000,4800000,48,71.0,70,70,66,69,1555250.0
2972,S. İnan,Turkey,Galatasaray SK,34,45000,1900000,65,71.0,69,69,77,77,2249125.0
2973,L. Jiménez,Chile,Al Ittihad,35,22000,1800000,35,73.0,70,70,78,80,4389000.0
2981,R. Martínez,Argentina,Club Atlético Aldosivi,36,8000,1300000,70,70.0,72,72,77,75,2918000.0
2982,Mikel Rico,Spain,SD Huesca,34,8000,1900000,77,66.0,77,77,73,75,3122475.0
2983,Javi Fuego,Spain,Real Sporting de Gijón,35,6000,1300000,72,65.0,74,74,70,70,1723375.0
2989,Lee Chung Yong,Korea Republic,VfL Bochum 1848,30,16000,3800000,53,75.0,74,74,73,74,4521000.0
2990,A. McGeady,Republic of Ireland,Sunderland,33,13000,2400000,41,78.0,69,69,72,71,4580500.0
2992,N. Cardozo,Argentina,Defensa y Justicia,32,12000,3000000,70,71.0,70,70,69,75,2728375.0
2995,C. Gentner,Germany,1. FC Union Berlin,33,29000,2300000,74,67.0,71,71,74,75,3246775.0
2999,J. Mikel,Nigeria,Trabzonspor,32,24000,3000000,78,68.0,78,78,79,62,5149500.0
3002,I. Sosa,Argentina,Club León,32,24000,3100000,47,74.0,70,70,72,71,3084750.0
3005,Bebé,Portugal,Rayo Vallecano,28,8000,4000000,28,72.0,68,68,70,66,3303625.0
3006,O. Fink,Germany,Fortuna Düsseldorf,37,17000,1300000,72,65.0,73,73,78,70,5586300.0
3008,A. Büyük,Turkey,Galatasaray SK,31,45000,3500000,19,77.0,71,71,70,65,4738500.0
3015,M. Jensen,Denmark,Rosenborg BK,31,7000,3400000,63,74.0,71,71,76,72,3610500.0
3018,K. McDonald,Scotland,Fulham,30,31000,3300000,74,67.0,72,72,75,67,5744975.0
3019,D. McCarty,United States,Chicago Fire,32,7000,2600000,69,69.0,73,73,76,63,2980375.0
3023,C. Marrugo,Colombia,Puebla FC,33,8000,2400000,51,72.0,74,74,74,78,3274000.0
3031,K. Monnet-Paquet,France,AS Saint-Étienne,30,24000,3800000,47,70.0,66,66,73,69,2864750.0
3032,M. Vrančić,Bosnia Herzegovina,Norwich City,30,36000,3700000,68,73.0,72,72,74,76,4112250.0
