,short_name,nationality,position,age,wage_eur,value_eur,mentality_positioning,attacking_finishing,movement_reactions,skill_ball_control,power_shot_power,value_pred
3551,F. Ricci,Italy,delantero,25,4000,3900000,68,65,68,76,63,3660875.0
3552,Léo Bonatini,Brazil,delantero,25,49000,4000000,75,69,73,73,76,3924000.0
3556,S. Moreo,Italy,delantero,26,5000,3900000,66,68,70,68,74,2913250.0
3557,F. Diedhiou,Senegal,delantero,26,32000,3900000,78,73,64,68,76,3541125.0
3560,M. Mahi,Morocco,delantero,25,12000,4000000,66,72,70,77,79,5072000.0
3562,C. Guanca,Argentina,delantero,26,25000,3900000,72,76,65,71,73,3413625.0
3563,Y. Boli,Ivory Coast,delantero,25,10000,4000000,71,73,66,68,74,3513125.0
3565,Dalmau,Spain,delantero,25,14000,4000000,68,78,64,66,74,3485750.0
3568,L. Höler,Germany,delantero,24,17000,4000000,74,72,72,66,76,3362000.0
3573,G. Kvilitaia,Georgia,delantero,25,16000,4000000,73,74,66,71,66,3526875.0
3577,Alexandre Guedes,Portugal,delantero,25,8000,4000000,73,74,69,72,75,4192000.0
3584,A. Helal,Bahrain,delantero,26,1000,3900000,74,68,64,74,70,3593125.0
3593,Lucas Piazon,Brazil,delantero,25,61000,3800000,71,73,69,77,70,4088500.0
3607,M. Thiam,Senegal,delantero,26,12000,3800000,68,70,64,75,72,2726875.0
3609,J. Correa,Argentina,delantero,26,17000,3800000,73,76,58,75,77,4201000.0
3615,Thiago Santana,Brazil,delantero,26,5000,3800000,71,72,71,70,76,3582000.0
3628,J. Iturbe,Paraguay,delantero,26,17000,3700000,70,60,64,74,72,3771375.0
3636,R. Matos,Brazil,delantero,26,14000,3700000,74,67,65,79,70,5156500.0
3640,V. Misidjan,Netherlands,delantero,25,12000,3700000,69,70,68,73,59,3247750.0
3643,M. Trotta,Italy,delantero,26,4000,3700000,75,70,72,70,76,3283750.0
3644,M. Seuntjens,Netherlands,delantero,27,14000,3600000,69,69,68,73,75,3416750.0
3648,Rafael Silva,Brazil,delantero,27,10000,3600000,72,74,62,74,68,3516875.0
3651,R. Ripart,France,delantero,26,18000,3700000,71,72,69,75,77,4056500.0
3658,A. Voglsammer,Germany,delantero,27,14000,3600000,72,74,69,67,73,3411500.0
3659,G. Zardes,United States,delantero,27,7000,3600000,73,71,66,64,76,2182650.0
3666,R. Emond,Belgium,delantero,27,13000,3600000,80,77,73,64,70,2031000.0
3669,Simy,Nigeria,delantero,27,4000,3600000,78,78,74,57,74,4376000.0
3671,A. Pešić,Serbia,delantero,27,8000,3600000,73,72,66,71,73,3451000.0
3672,O. Rivero,Uruguay,delantero,27,17000,3600000,73,70,69,69,74,2038750.0
3673,L. Mancuso,Italy,delantero,27,5000,3600000,75,73,72,72,69,3710000.0
3676,A. Canelo,Argentina,delantero,27,19000,3600000,70,74,60,72,78,3270750.0
3682,K. Rezaei,Iran,delantero,27,17000,3600000,73,71,68,68,75,3293625.0
3686,M. Rosenberg,Sweden,delantero,36,6000,1100000,75,72,73,71,74,1991625.0
3693,G. Pazzini,Italy,delantero,34,14000,1600000,82,78,68,72,65,5370000.0
3694,A. Rosina,Italy,delantero,35,3000,1400000,70,68,72,77,73,7299625.0
3720,C. Théréau,France,delantero,36,27000,1000000,75,78,71,76,76,3655000.0
3730,S. Floccari,Italy,delantero,37,9000,1100000,77,74,68,73,75,2784000.0
3739,F. Dionisi,Italy,delantero,32,4000,2500000,72,73,71,71,75,3018500.0
3740,F. Ceravolo,Italy,delantero,32,30000,2500000,70,75,64,75,70,3115500.0
3746,A. Ramos,Colombia,delantero,33,16000,2000000,72,72,72,66,72,2258250.0
3747,L. Jutkiewicz,England,delantero,30,12000,3000000,73,71,72,70,74,2846500.0
3754,A. Cerci,Italy,delantero,31,4000,2700000,69,64,64,78,72,3547500.0
3755,D. Ciofani,Italy,delantero,33,4000,2000000,79,75,74,68,76,2591125.0
3758,M. Gavranović,Switzerland,delantero,29,1000,3100000,80,73,71,75,69,3849375.0
3760,E. Derdiyok,Switzerland,delantero,31,19000,2800000,75,74,69,72,78,3675000.0
3763,D. McGoldrick,Republic of Ireland,delantero,31,26000,2800000,72,73,72,73,68,3183500.0
3765,M. Martins,Bolivia,delantero,32,0,0,69,75,63,69,80,1048375.0
3770,C. Beauvue,France,delantero,31,17000,2800000,67,72,61,72,82,2909750.0
3771,L. Barrios,Paraguay,delantero,34,14000,1600000,75,75,65,68,77,2402000.0
3772,M. Škoda,Czech Republic,delantero,33,1000,2000000,79,71,65,72,71,2248625.0
3777,T. Chevalier,France,delantero,32,6000,2400000,73,74,68,70,74,3933625.0
3778,N. Roux,France,delantero,31,8000,2800000,71,69,65,73,73,2775500.0
3779,Orlando Sá,Portugal,delantero,31,13000,2800000,76,74,67,72,73,3339250.0
3783,M. Coda,Italy,delantero,30,5000,3000000,73,76,69,72,74,3764500.0
3796,M. Diouf,Senegal,delantero,31,26000,2800000,74,68,69,65,75,1945300.0
3802,R. Gutiérrez,Chile,delantero,36,3000,1100000,78,77,65,73,68,2965250.0
3804,A. Budimir,Croatia,delantero,27,19000,3300000,77,80,66,69,70,3878125.0
3807,R. Meggiorini,Italy,delantero,33,5000,2000000,74,72,75,73,69,2247000.0
3809,M. Sau,Italy,delantero,31,5000,2800000,82,69,80,76,66,3553750.0
3810,L. Kozák,Czech Republic,delantero,30,1000,3000000,79,71,70,70,71,2945000.0
3812,L. Siligardi,Italy,delantero,31,30000,2700000,68,63,66,77,74,3444000.0
3817,Diego Farías,Brazil,delantero,29,15000,3100000,72,70,73,77,70,4249500.0
3819,Álvaro,Spain,delantero,28,13000,3200000,74,77,70,70,71,3561125.0
3823,S. Armenteros,Sweden,delantero,29,5000,3100000,72,71,69,71,74,2874750.0
3827,Guedes,Portugal,delantero,32,6000,2500000,77,73,74,69,76,2880250.0
3832,J. Schieber,Germany,delantero,30,19000,3000000,72,72,71,69,83,3475500.0
3838,S. Koroki,Japan,delantero,32,11000,2500000,77,68,68,77,69,3347000.0
3844,L. Narsingh,Netherlands,delantero,28,12000,3100000,67,67,65,73,65,2112625.0
3847,I. Mboyo,Belgium,delantero,32,12000,2500000,74,70,67,75,71,3058500.0
3849,D. Falcinelli,Italy,delantero,28,25000,3200000,75,74,70,72,70,3890000.0
3858,Flavio Paixão,Portugal,delantero,34,8000,1600000,74,73,65,71,70,2123250.0
3864,A. Ragusa,Italy,delantero,29,14000,3000000,68,66,69,75,68,2327250.0
3867,S. Tecl,Czech Republic,delantero,28,1000,3200000,77,74,68,72,61,3107125.0
3872,Ji Dong Won,Korea Republic,delantero,28,22000,3200000,73,69,74,73,76,3758000.0
3880,M. Pérez,Colombia,delantero,28,18000,3200000,68,75,65,67,74,2718625.0
3889,M. Le Bihan,France,delantero,29,24000,3100000,77,75,69,71,75,4049250.0
3891,C. Gytkjær,Denmark,delantero,29,9000,3100000,73,74,70,70,73,4370750.0
3892,B. Kadrii,Denmark,delantero,27,12000,3300000,71,72,67,73,75,3514375.0
3898,J. Plata,Ecuador,delantero,27,7000,3300000,69,65,74,70,74,1821500.0
3899,Y. Orozco,Venezuela,delantero,28,4000,3100000,70,61,69,74,69,3226000.0
3903,W. Soliman,Egypt,delantero,34,0,0,60,74,71,73,74,3380791.666666666
3904,Welthon,Brazil,delantero,27,9000,3300000,69,68,69,72,83,3727500.0
3905,A. Jóhannsson,United States,delantero,28,5000,3200000,72,73,70,73,73,4063350.0
3906,Y. Touzghar,Tunisia,delantero,32,7000,2500000,75,73,69,69,71,2473750.0
3917,M. Pucciarelli,Italy,delantero,28,5000,3200000,75,70,76,76,74,4653000.0
3918,C. Chávez,Argentina,delantero,32,16000,2500000,74,74,71,74,77,3547500.0
3924,I. Santini,Croatia,delantero,30,16000,3000000,77,76,71,64,80,4725125.0
3927,A. Wooten,United States,delantero,29,7000,3100000,72,74,68,69,72,2864125.0
3934,Júlio Tavares,Cape Verde,delantero,30,12000,3000000,73,72,74,71,72,3028000.0
3937,M. Grüttner,Germany,delantero,33,12000,2000000,77,72,69,68,74,2417625.0
3938,Frédéric Mendy,Guinea Bissau,delantero,30,6000,3000000,74,71,71,64,77,2763500.0
3940,S. Michel,Germany,delantero,28,20000,3200000,74,75,72,69,76,3764250.0
3941,G. Țucudean,Romania,delantero,28,11000,3200000,76,76,73,67,77,4071500.0
3943,S. Sáez,Argentina,delantero,34,10000,1600000,73,77,74,68,69,2189875.0
3947,M. Rangel,Colombia,delantero,28,2000,3200000,78,76,67,68,74,3683375.0
3951,L. Castro,Colombia,delantero,30,1000,3000000,77,77,67,65,69,2721625.0
3956,F. Márquez,Argentina,delantero,31,11000,2800000,70,73,65,68,72,2499750.0
3957,C. Menéndez,Argentina,delantero,31,8000,2800000,76,72,74,69,72,2928000.0
3975,V. Kjartansson,Iceland,delantero,29,0,0,79,76,78,63,70,2426625.0
3983,J. Lucero,Argentina,delantero,27,11000,3300000,71,69,72,72,71,3321500.0
3984,Jonathan Cafú,Brazil,delantero,27,23000,3300000,72,69,69,76,64,3711000.0
3986,L. Ramos,Argentina,delantero,29,23000,3100000,73,74,60,69,70,2460750.0
4000,Santi da Bruma,Brazil,delantero,35,9000,1400000,70,73,81,75,61,2123500.0
4001,Thiago Alminxa,Brazil,delantero,27,11000,3300000,76,72,72,74,62,3248250.0
4002,Cristian Lodeira,Brazil,delantero,27,11000,3300000,74,70,77,72,72,3180500.0
4003,Walter Silvieiro,Brazil,delantero,27,14000,3300000,75,77,63,67,76,3605500.0
4004,Josué da Feira,Brazil,delantero,27,11000,3300000,69,75,77,77,73,5065500.0
4020,Paulao Junqueiras,Brazil,delantero,31,22000,2800000,76,77,66,67,85,5894000.0
4021,Nilsito Vilela,Brazil,delantero,31,14000,2800000,72,66,77,75,61,2755600.0
4028,Rômulo Calsede,Brazil,delantero,31,25000,2800000,73,74,68,69,72,3279125.0
4051,Francisco Trincão,Portugal,delantero,19,6000,4400000,68,64,69,73,70,3581000.0
4058,B. Mbeumo,France,delantero,19,17000,4100000,69,66,63,72,74,1703000.0
4061,K. Grant,England,delantero,21,18000,4100000,70,71,69,68,69,3318500.0
4071,P. Daka,Zambia,delantero,20,18000,4100000,70,68,71,67,72,3312375.0
4076,Rafa Mir,Spain,delantero,22,25000,3900000,69,72,65,71,73,3403875.0
4080,I. Ganago,Cameroon,delantero,20,16000,3900000,67,71,59,70,78,3054250.0
4088,T. Awoniyi,Nigeria,delantero,21,14000,3700000,69,74,63,58,75,1704000.0
4089,Z. Bakaev,Russia,delantero,23,1000,3600000,66,69,64,71,69,2900750.0
4093,H. Bandé,Burkina Faso,delantero,20,10000,3700000,64,72,69,72,70,3368000.0
4095,J. Paintsil,Ghana,delantero,21,9000,3700000,71,61,73,72,65,3503725.0
4099,Kikas,Portugal,delantero,20,4000,3700000,69,72,69,71,76,3337500.0
4104,S. Abdullahi,Nigeria,delantero,22,22000,3500000,72,68,71,71,77,3167625.0
4105,P. Köpke,Germany,delantero,23,16000,3500000,71,70,66,71,76,2999500.0
4112,Guilherme Schettine,Brazil,delantero,23,4000,3500000,67,73,71,69,76,3430625.0
4121,J. Marriott,England,delantero,24,17000,3400000,74,76,70,65,70,3211750.0
4127,O. Oularé,Belgium,delantero,23,10000,3400000,66,69,65,68,80,2992625.0
4128,G. Pușcaș,Romania,delantero,23,14000,3400000,74,70,69,70,77,3146500.0
4130,O. Estupiñán,Colombia,delantero,22,15000,3400000,68,68,63,71,77,2890625.0
4135,B. Trawally,Gambia,delantero,24,20000,3400000,76,73,75,72,65,3588000.0
4136,Lourency,Brazil,delantero,23,7000,3300000,72,68,74,72,80,3725000.0
4137,Murilo,Brazil,delantero,23,7000,3300000,67,65,73,76,77,4823000.0
4142,Luquinhas,Brazil,delantero,22,7000,3300000,66,64,73,72,74,3054875.0
4148,B. Guillaume,Belgium,delantero,24,5000,3300000,73,72,65,75,72,3441625.0
4153,M. Manotas,Colombia,delantero,23,6000,3300000,75,74,69,69,75,3366375.0
4155,Hwang Hee Chan,Korea Republic,delantero,23,21000,3300000,71,68,72,74,69,3106250.0
4156,J. Siebatcheu,France,delantero,23,23000,3300000,71,74,68,70,69,2953500.0
4167,I. Sacko,France,delantero,21,16000,3300000,69,70,61,70,74,1482750.0
4171,H. Weydandt,Germany,delantero,23,18000,3300000,72,75,66,62,71,2587325.0
4172,B. Angulo,Ecuador,delantero,23,15000,3300000,62,78,73,71,72,4642250.0
4180,S. Maguire,Republic of Ireland,delantero,25,19000,3200000,73,72,64,71,63,2517000.0
4181,P. Onuachu,Nigeria,delantero,25,15000,3200000,72,71,71,70,58,1789475.0
4183,T. Kleindienst,Germany,delantero,23,15000,3200000,71,71,68,59,78,2688800.0
4192,J. Pohjanpalo,Finland,delantero,24,31000,3200000,73,72,71,68,73,3195750.0
4194,L. Mousset,France,delantero,23,20000,3200000,67,69,64,72,76,2456000.0
4197,J. Morris,United States,delantero,24,6000,3200000,70,68,69,64,78,2533125.0
4198,C. Larin,Canada,delantero,24,10000,3200000,70,74,66,61,81,2835500.0
4203,Jon Bautista,Spain,delantero,23,8000,3200000,73,76,69,68,69,2871500.0
4205,N. Leguizamón,Argentina,delantero,24,9000,3200000,69,70,67,68,73,2754250.0
4214,André Pereira,Portugal,delantero,24,7000,3200000,70,73,70,69,74,3622250.0
4219,O. Omoijuanfo,Norway,delantero,25,6000,3100000,72,72,68,68,71,2593375.0
4221,J. Murphy,England,delantero,24,17000,3100000,68,66,64,70,73,998125.0
4228,A. Zaldívar,Mexico,delantero,25,25000,3100000,72,68,59,72,73,2512875.0
4238,A. Kamara,France,delantero,24,25000,3100000,74,68,64,64,75,2290825.0
4243,C. Songkrasin,Thailand,delantero,25,4000,3100000,69,66,66,72,64,2591525.0
4245,Y. Toyokawa,Japan,delantero,24,8000,3100000,75,73,72,67,69,3067750.0
4256,A. Taggart,Australia,delantero,26,6000,3000000,77,76,68,74,70,3976500.0
4257,C. Nyman,Sweden,delantero,26,7000,3000000,70,68,71,65,69,1440750.0
4259,I. Tandia,Mali,delantero,25,10000,3000000,69,71,74,72,70,2859000.0
4263,A. Lozano,Honduras,delantero,26,8000,3000000,70,70,71,69,66,1945375.0
4269,F. Malbašić,Serbia,delantero,26,8000,3000000,71,71,70,72,73,3010250.0
4271,A. Henríquez,Chile,delantero,25,9000,3000000,73,71,68,68,73,2989875.0
4272,R. Kishna,Netherlands,delantero,24,25000,3000000,64,64,65,78,69,3528250.0
4276,I. Tajouri-Shradi,Libya,delantero,25,6000,3000000,66,71,59,74,75,2975750.0
4281,A. Sagal,Chile,delantero,26,13000,3000000,71,76,63,66,73,2788125.0
4295,E. Berggreen,Denmark,delantero,26,8000,3000000,73,75,72,73,73,3967833.333333333
4310,J. Arias,Uruguay,delantero,26,11000,3000000,72,73,66,71,77,3320500.0
4315,Fernando Andrade,Brazil,delantero,26,11000,3000000,72,75,67,65,75,2245375.0
4318,P. Cucchi,Argentina,delantero,26,4000,3000000,70,74,65,71,69,2803875.0
4322,K. Zohore,Denmark,delantero,25,27000,2900000,73,70,71,68,78,2881125.0
4325,B. Afobe,DR Congo,delantero,26,29000,2900000,72,74,68,70,68,2772750.0
4326,B. Wood,United States,delantero,26,11000,2900000,65,72,64,72,76,2813500.0
4334,A. Niane,Mali,delantero,26,11000,2900000,74,71,65,67,70,2487375.0
4344,Kim Seung Joon,Korea Republic,delantero,24,5000,3000000,74,66,72,71,68,1747875.0
4345,R. Bajić,Bosnia Herzegovina,delantero,25,12000,2900000,76,74,60,72,73,2983250.0
4347,M. Mohammadi,Iran,delantero,25,9000,2900000,68,70,71,74,76,3858500.0
4350,V. Kadlec,Czech Republic,delantero,27,1000,2800000,72,72,65,70,68,2363625.0
4352,L. Thy,Germany,delantero,27,8000,2800000,69,71,69,68,74,2853375.0
4366,G. Wikheim,Norway,delantero,26,16000,2800000,69,62,64,70,63,2229000.0
4369,William,Brazil,delantero,27,17000,2800000,70,70,66,67,71,2531750.0
4372,U. Đerić,Serbia,delantero,27,6000,2800000,74,74,72,65,76,2984250.0
4377,I. Kiese Thelin,Sweden,delantero,27,14000,2800000,74,71,71,72,71,2825000.0
4378,S. Dursun,Germany,delantero,27,14000,2800000,76,76,65,72,69,3096875.0
4381,S. Longo,Italy,delantero,27,7000,2800000,71,70,71,71,72,2577500.0
4383,S. Hedlund,Sweden,delantero,26,15000,2800000,70,65,68,70,68,2336000.0
4393,L. Díaz,Argentina,delantero,27,10000,2800000,68,70,66,72,74,2483875.0
4395,E. Rescaldani,Argentina,delantero,27,8000,2800000,73,70,67,70,77,2949625.0
4398,J. Hugill,England,delantero,27,8000,2800000,67,72,66,67,73,2451250.0
4407,S. Doi,Japan,delantero,27,7000,2800000,73,73,68,72,68,3219500.0
4411,B. Johnsen,Norway,delantero,27,8000,2800000,71,73,64,65,69,2325125.0
4421,I. de Camargo,Belgium,delantero,36,8000,850000,78,71,63,72,73,985625.0
4429,S. Silva,Uruguay,delantero,38,7000,850000,75,73,69,67,79,3668250.0
4433,M. Demir,Turkey,delantero,27,24000,2500000,72,69,69,72,77,2872125.0
4440,J. Perbet,France,delantero,34,11000,1200000,81,77,73,64,70,1788875.0
4450,J. Ménez,France,delantero,32,33000,1900000,68,68,66,77,68,2565500.0
4457,D. Graham,England,delantero,33,16000,1500000,74,74,72,71,75,4929500.0
4458,C. Obasi,Nigeria,delantero,33,7000,1500000,70,72,71,72,67,2079875.0
4463,N. Bendtner,Denmark,delantero,31,6000,2100000,67,72,68,68,74,2328625.0
4464,H. Goitom,Eritrea,delantero,34,7000,1200000,78,69,70,74,70,2097875.0
4468,M. Ardemagni,Italy,delantero,32,4000,1900000,71,69,69,70,75,2083375.0
4478,A. Matri,Italy,delantero,34,31000,1200000,75,69,70,70,72,1552875.0
4490,A. Gerndt,Sweden,delantero,32,7000,1900000,74,70,70,72,74,2457000.0
4495,K. Barbarouses,New Zealand,delantero,29,8000,2400000,72,75,69,69,68,2158375.0
4497,R. Kruse,Australia,delantero,30,7000,2200000,70,71,69,69,66,2185750.0
4502,Rui Fonte,Portugal,delantero,29,30000,2400000,77,71,74,74,66,2726000.0
4504,M. Waghorn,England,delantero,29,21000,2400000,70,74,66,64,79,2380000.0
4510,O. Şişmanoğlu,Germany,delantero,29,11000,2400000,75,72,73,66,65,2294625.0
4511,J. Rhodes,Scotland,delantero,29,21000,2400000,78,74,73,66,70,2920500.0
4516,F. Đorđević,Serbia,delantero,31,4000,2100000,71,70,71,69,76,2250125.0
4519,A. Jansen,Netherlands,delantero,30,6000,2300000,71,63,67,71,81,2215850.0
4523,A. Kravets,Ukraine,delantero,30,11000,2300000,75,72,74,66,72,2636000.0
4525,A. Diomande,Norway,delantero,29,7000,2400000,68,71,67,68,72,2175125.0
4528,R. van La Parra,Netherlands,delantero,28,24000,2400000,66,58,65,78,67,4133500.0
4533,J. Murphy,Scotland,delantero,29,35000,2300000,70,71,67,72,68,2177000.0
4538,G. Litteri,Italy,delantero,31,3000,2100000,70,72,63,68,66,2107375.0
4540,A. Nahuelpan,Argentina,delantero,31,15000,2100000,71,72,68,68,77,2457500.0
4543,B. Koita,Guinea,delantero,28,11000,2400000,70,67,65,72,78,2499875.0
4546,D. Sorgić,Serbia,delantero,29,6000,2400000,79,76,64,72,73,3473375.0
4552,D. Villalva,Argentina,delantero,26,7000,2500000,65,65,68,74,72,2616500.0
4557,Kim Shin Wook,Korea Republic,delantero,31,12000,2100000,71,69,72,70,73,1959750.0
4558,Júnior Dutra,Brazil,delantero,31,4000,2100000,69,68,70,70,71,2281375.0
4570,C. Santos,Venezuela,delantero,31,7000,2100000,76,73,68,70,68,2367875.0
4583,R. Varga,Hungary,delantero,29,0,0,72,66,68,71,71,2126250.0
4587,I. Baldé,Senegal,delantero,30,8000,2300000,71,73,66,67,74,2692625.0
4593,J. McClean,Republic of Ireland,delantero,30,23000,2200000,70,66,70,72,70,2431600.0
4594,N. Đurđić,Serbia,delantero,33,5000,1500000,79,69,77,65,66,2193500.0
4595,Rodri,Spain,delantero,29,15000,2400000,69,72,66,75,78,3063500.0
4598,D. Lekić,Serbia,delantero,34,8000,1200000,77,71,72,63,73,1407000.0
4603,Hwang Il Soo,Korea Republic,delantero,31,6000,2100000,70,68,64,67,66,1828500.0
4604,Joselu,Spain,delantero,28,9000,2400000,68,72,67,66,76,2296000.0
4605,B. Balaj,Albania,delantero,28,16000,2400000,72,72,68,69,74,2592625.0
4617,K. Kusk,Denmark,delantero,27,11000,2500000,71,69,66,72,66,2495875.0
4621,Alejandro Rodríguez,Spain,delantero,27,4000,2500000,68,72,65,70,69,1658375.0
4622,A. Søderlund,Norway,delantero,31,6000,2100000,73,72,71,66,75,2372125.0
4625,S. Zoller,Germany,delantero,28,14000,2400000,73,71,71,72,70,3200125.0
4631,D. Lezcano,Paraguay,delantero,29,14000,2400000,70,69,66,72,71,2489125.0
4632,Cristian Herrera,Spain,delantero,28,8000,2400000,66,74,62,72,74,2700500.0
4637,Rafael Lopes,Portugal,delantero,27,6000,2500000,73,74,71,67,76,3022500.0
4644,D. Texeira,Uruguay,delantero,28,9000,2400000,68,75,68,70,74,2634375.0
4648,M. Antonsson,Sweden,delantero,28,7000,2400000,77,74,73,63,66,2027500.0
4650,A. Giannou,Australia,delantero,29,0,0,72,75,59,68,72,708375.0
4652,D. Dwyer,United States,delantero,28,7000,2400000,75,71,69,68,79,2858250.0
4679,J. Pérez,Colombia,delantero,28,4000,2400000,68,69,71,75,71,2892000.0
4680,A. Rodríguez,Colombia,delantero,30,6000,2300000,72,71,73,70,74,2432250.0
4684,P. Rubio,Chile,delantero,30,4000,2300000,70,71,64,71,72,2260625.0
4685,C. Riaño,Argentina,delantero,30,12000,2300000,66,69,67,71,73,2429750.0
4687,L. Albertengo,Argentina,delantero,28,14000,2400000,72,74,71,71,68,3306750.0
4689,P. Velázquez,Paraguay,delantero,32,11000,1900000,71,71,70,70,76,2312000.0
4692,Cristian López,Spain,delantero,30,16000,2300000,72,72,68,70,70,2222375.0
4705,F. Sotoca,France,delantero,28,8000,2400000,69,71,65,68,74,2295000.0
4706,H. Veerman,Netherlands,delantero,28,14000,2400000,74,71,70,61,76,2257450.0
4708,J. Benítez,Argentina,delantero,27,3000,2500000,69,69,66,70,70,2326375.0
4709,Moon Seon Min,Korea Republic,delantero,27,9000,2500000,71,70,59,65,58,2092250.0
4716,Eltildo Bessa,Brazil,delantero,35,8000,1100000,77,71,78,75,62,2101875.0
4748,K. Fortuné,France,delantero,29,7000,2400000,71,73,67,66,75,2538125.0
4752,Túlio Sandoiro,Brazil,delantero,35,8000,1100000,65,71,73,75,73,2194000.0
4756,P. De la Vega,Argentina,delantero,18,5000,3700000,66,60,59,72,73,3003750.0
4758,A. Pinamonti,Italy,delantero,20,8000,3900000,70,73,67,74,68,3801875.0
4760,M. Boadu,Netherlands,delantero,18,3000,3700000,66,69,74,72,71,3573125.0
4763,J. Hurtado,Venezuela,delantero,19,8000,3800000,73,67,68,70,71,2976000.0
4764,A. Hložek,Czech Republic,delantero,16,1000,3500000,68,67,68,75,70,3029750.0
4767,G. Plata,Ecuador,delantero,18,3000,3700000,65,62,65,74,70,3060150.0
4774,F. Amuzu,Belgium,delantero,19,7000,3800000,66,62,61,71,70,2825625.0
4775,I. Openda,Belgium,delantero,19,8000,3800000,70,67,64,68,68,3028875.0
4785,S. Wamangituka,DR Congo,delantero,19,10000,3400000,69,72,61,68,68,2837750.0
4791,A. Sigurðsson,Iceland,delantero,20,1000,3200000,68,70,70,70,64,2655175.0
4792,Han Kwang Song,Korea DPR,delantero,20,14000,3200000,69,73,68,70,68,2808750.0
4800,R. Manaj,Albania,delantero,22,5000,3100000,72,70,68,72,69,2898875.0
4801,M. van Bergen,Netherlands,delantero,19,4000,3000000,60,67,62,70,69,2394750.0
4814,D. Solanke,England,delantero,21,25000,2900000,69,70,65,72,72,2672875.0
4826,O. Okwonkwo,Nigeria,delantero,21,4000,2900000,64,63,64,68,74,2250025.0
4831,Jordi Mboula,Spain,delantero,20,7000,2900000,65,67,62,71,68,1621625.0
4835,G. Yalçın,Turkey,delantero,20,25000,2900000,62,74,64,67,72,2318625.0
4848,D. Sallói,Hungary,delantero,22,5000,2700000,68,74,70,72,73,3789000.0
4854,S. Córdova,Venezuela,delantero,21,11000,2800000,68,68,66,67,73,2178250.0
4860,I. Zlatanović,Serbia,delantero,21,6000,2800000,71,70,65,65,69,2250750.0
4864,G. Moncini,Italy,delantero,23,8000,2700000,72,72,71,66,65,2321875.0
4870,M. Duelund,Denmark,delantero,22,1000,2600000,67,68,68,71,71,2469875.0
4874,B. Mansilla,Argentina,delantero,22,4000,2600000,65,69,65,71,67,2342250.0
4875,T. Kadewere,Zimbabwe,delantero,23,5000,2700000,69,72,62,69,66,2437375.0
4878,D. Batallini,Argentina,delantero,23,7000,2600000,72,70,61,72,69,2278250.0
4887,J. Ebobisse,United States,delantero,22,5000,2700000,72,67,65,68,67,1521000.0
4889,C. Spinelli,Argentina,delantero,22,8000,2700000,72,74,63,73,69,2858375.0
4893,Gabrielzinho,Brazil,delantero,23,6000,2600000,65,56,68,73,76,2772375.0
4895,Vagner,Cape Verde,delantero,23,4000,2600000,66,66,66,70,67,2025250.0
4897,B. Dia,France,delantero,22,15000,2700000,70,71,61,68,70,2352500.0
4899,Villalibre,Spain,delantero,21,10000,2600000,65,69,64,68,78,2520125.0
4903,M. Bolados,Chile,delantero,23,5000,2500000,67,69,63,68,70,1248125.0
4911,I. Jeraldino,Chile,delantero,23,4000,2500000,73,72,71,69,71,2606875.0
4912,F. Platte,Germany,delantero,23,11000,2500000,70,70,65,68,71,2270625.0
4916,F. Kamberi,Switzerland,delantero,24,5000,2500000,65,68,62,66,77,2088200.0
4922,P. Cuadra,Argentina,delantero,24,8000,2500000,63,67,62,71,71,2054200.0
4923,A. Guðmundsson,Iceland,delantero,22,6000,2500000,61,66,66,75,67,1618000.0
4928,A. Mabil,Australia,delantero,23,12000,2400000,68,60,64,70,65,2144825.0
4930,M. Ingvartsen,Denmark,delantero,23,19000,2500000,74,71,67,68,67,2182375.0
4941,Sergi Canós,Spain,delantero,22,22000,2400000,69,68,67,69,70,1769000.0
4943,S. Cosgrove,England,delantero,22,5000,2500000,70,72,66,63,75,2198625.0
4946,J. Báez,Uruguay,delantero,24,2000,2400000,65,65,69,70,69,1868400.0
4955,F. Diabaté,Mali,delantero,23,35000,2400000,69,68,66,73,68,2308125.0
4958,E. Koljić,Bosnia Herzegovina,delantero,23,6000,2500000,74,74,64,56,77,2660625.0
4962,F. Durmishaj,Greece,delantero,22,1000,2500000,72,73,61,65,77,2416875.0
4974,L. Đorđević,Montenegro,delantero,24,1000,2400000,65,73,67,70,60,2134375.0
4979,M. Caballero,Paraguay,delantero,24,4000,2400000,72,71,69,63,69,1276200.0
4984,A. Boljević,Montenegro,delantero,23,9000,2400000,68,60,66,70,63,2111075.0
4990,U. Đurđević,Serbia,delantero,25,7000,2400000,72,71,67,67,74,2391375.0
5003,Jorge Pombo,Spain,delantero,25,7000,2400000,70,68,64,70,75,2254500.0
5020,N. Ibáñez,Argentina,delantero,24,8000,2400000,72,70,67,64,71,1932400.0
5025,Y. Njie,Gambia,delantero,25,4000,2400000,69,68,69,69,73,1987000.0
5028,D. Pineda,El Salvador,delantero,23,4000,2400000,67,61,69,74,72,2794000.0
5029,A. Păun,Romania,delantero,24,7000,2400000,57,57,66,72,73,2081850.0
5035,Ademilson,Brazil,delantero,25,8000,2300000,66,69,65,69,70,2023875.0
5045,R. Insigne,Italy,delantero,25,3000,2300000,67,66,66,71,59,1655625.0
5064,G. Giakoumakis,Greece,delantero,24,1000,2400000,68,72,66,61,76,2036750.0
5065,D. Zuma,South Africa,delantero,24,1000,2300000,66,60,63,71,50,2038125.0
