,short_name,nationality,club,age,wage_eur,value_eur,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,value_pred
5285,R. Elliot,Republic of Ireland,Newcastle United,33,15000,950000,71.0,66.0,76.0,71.0,41.0,70.0,1016750.0
5290,R. Riou,France,Stade Malherbe Caen,31,4000,1100000,70.0,68.0,66.0,68.0,49.0,71.0,1032825.0
5291,M. Fraga,Mexico,U.N.A.M.,31,9000,1100000,70.0,70.0,74.0,69.0,51.0,69.0,1103500.0
5299,R. M'Bolhi,Algeria,Ettifaq FC,33,12000,950000,71.0,64.0,63.0,77.0,48.0,64.0,964025.0
5308,Manolo Reina,Spain,RCD Mallorca,34,10000,775000,67.0,68.0,65.0,70.0,57.0,73.0,765850.0
5337,E. Kawashima,Japan,RC Strasbourg Alsace,36,7000,300000,70.0,65.0,71.0,74.0,44.0,67.0,420500.0
5342,Wang Dalei,China PR,Shandong Luneng TaiShan FC,30,8000,1200000,69.0,68.0,76.0,70.0,59.0,65.0,1184500.0
5344,M. Männel,Germany,FC Erzgebirge Aue,31,4000,1100000,73.0,70.0,59.0,74.0,48.0,65.0,1170125.0
5367,K. Kronholm,United States,Chicago Fire,33,4000,950000,74.0,64.0,65.0,74.0,36.0,64.0,894175.0
5369,P. Šteinbors,Latvia,Arka Gdynia,33,3000,950000,72.0,66.0,65.0,74.0,37.0,71.0,991775.0
5385,S. Colombi,Italy,Parma,28,17000,1300000,71.0,67.0,53.0,76.0,40.0,69.0,1353125.0
5390,R. Köse,Turkey,Kasimpaşa SK,31,6000,1100000,74.0,62.0,57.0,75.0,34.0,74.0,1027400.0
5421,F. Giefer,Germany,FC Augsburg,29,10000,1300000,73.0,64.0,58.0,72.0,37.0,71.0,1120300.0
5429,Pedro Trigueira,Portugal,Moreirense FC,31,5000,1100000,65.0,68.0,72.0,72.0,45.0,70.0,1012175.0
5437,A. Hayashi,Japan,FC Tokyo,32,5000,1100000,71.0,73.0,63.0,73.0,48.0,68.0,1254250.0
5443,S. Clark,United States,Portland Timbers,33,4000,950000,70.0,68.0,65.0,70.0,34.0,67.0,945125.0
5452,A. Domínguez,Ecuador,Vélez Sarsfield,32,7000,1100000,66.0,67.0,70.0,71.0,32.0,69.0,1086375.0
5456,M. Riemann,Germany,VfL Bochum 1848,30,8000,1200000,69.0,64.0,71.0,74.0,50.0,67.0,485375.0
5550,J. Cuadrado,Colombia,Atlético Nacional,34,3000,775000,70.0,67.0,73.0,70.0,46.0,67.0,787250.0
5564,M. Ibáñez,Argentina,Patronato,32,7000,1100000,67.0,72.0,62.0,69.0,42.0,70.0,985900.0
5596,Rafael Defendi,Brazil,Famalicão,35,3000,475000,68.0,70.0,69.0,69.0,34.0,71.0,489500.0
5609,Victor Fachinhas,Brazil,Ceará Sporting Club,35,4000,475000,69.0,73.0,58.0,74.0,38.0,63.0,540200.0
5632,Jairo Farnias,Brazil,Internacional,31,11000,1100000,64.0,68.0,69.0,75.0,55.0,68.0,1535000.0
5653,M. Asselah,Algeria,Al Hazem,32,6000,1100000,70.0,68.0,62.0,73.0,43.0,66.0,1107250.0
5690,N. Körber,Germany,VfL Osnabrück,22,5000,1500000,71.0,64.0,59.0,75.0,35.0,67.0,1452875.0
5717,H. Koffi,Burkina Faso,Os Belenenses,22,2000,1400000,70.0,66.0,67.0,72.0,34.0,66.0,1356500.0
5724,L. Montipò,Italy,Benevento,23,2000,1300000,68.0,68.0,64.0,73.0,41.0,67.0,1281375.0
5744,Dani Martín,Spain,Real Betis,20,5000,1300000,69.0,67.0,66.0,72.0,47.0,66.0,1301000.0
5751,C. Walton,England,Blackburn Rovers,23,7000,1300000,72.0,68.0,67.0,70.0,35.0,68.0,1214025.0
5756,B. Peacock-Farrell,Northern Ireland,Burnley,22,10000,1300000,72.0,65.0,72.0,73.0,52.0,63.0,798225.0
5776,E. Bansen,Germany,SV Zulte-Waregem,21,4000,1300000,74.0,68.0,60.0,68.0,22.0,67.0,959650.0
5783,S. Rossbach,Norway,Odds BK,23,2000,1200000,69.0,67.0,65.0,71.0,44.0,67.0,1179500.0
5800,Soriano,Spain,CD Leganés,21,6000,1200000,71.0,66.0,65.0,71.0,37.0,65.0,832875.0
5820,L. Cháves,Argentina,Argentinos Juniors,23,4000,1100000,72.0,66.0,62.0,70.0,45.0,69.0,1024075.0
5821,M. Gersbeck,Germany,Karlsruher SC,24,5000,1100000,67.0,70.0,58.0,72.0,42.0,67.0,1108625.0
5822,J. Gonzalez,United States,FC Dallas,24,3000,1100000,70.0,67.0,66.0,70.0,42.0,67.0,886250.0
5846,O. De Wolf,Belgium,KAS Eupen,22,4000,1100000,67.0,70.0,76.0,71.0,35.0,69.0,1055750.0
5853,A. Bayındır,Turkey,Fenerbahçe SK,21,12000,1100000,73.0,69.0,64.0,76.0,21.0,68.0,2300750.0
5856,D. Bachmann,Austria,Watford,24,16000,1100000,68.0,67.0,68.0,69.0,43.0,65.0,747325.0
5857,F. Ondoa,Cameroon,KV Oostende,23,5000,1100000,73.0,62.0,61.0,77.0,53.0,68.0,1076200.0
5867,S. Allagbé,Benin,Chamois Niortais Football Club,25,3000,1100000,70.0,72.0,68.0,71.0,29.0,67.0,1050700.0
5875,T. Wellenreuther,Germany,Willem II,23,3000,1100000,72.0,64.0,61.0,70.0,53.0,67.0,825875.0
5890,M. Turner,United States,New England Revolution,25,3000,1100000,70.0,69.0,64.0,73.0,39.0,72.0,1266500.0
5893,Caro,Spain,SD Ponferradina,25,3000,1100000,68.0,68.0,65.0,68.0,35.0,71.0,972625.0
5895,V. Cojocaru,Romania,FC Viitorul,23,3000,1100000,64.0,69.0,68.0,73.0,33.0,69.0,1090325.0
5898,K. Broll,Germany,SG Dynamo Dresden,23,6000,1100000,70.0,66.0,42.0,72.0,15.0,71.0,1111000.0
5903,S. Rojas,Paraguay,Paraguay,23,0,0,75.0,65.0,73.0,68.0,25.0,68.0,1325175.0
5908,J. Brinkies,Germany,FSV Zwickau,26,1000,1000000,68.0,66.0,65.0,74.0,52.0,70.0,1250250.0
5929,F. Bredlow,Germany,VfB Stuttgart,24,8000,1100000,71.0,68.0,60.0,71.0,38.0,64.0,1063625.0
5930,C. MacGillivray,Scotland,Portsmouth,26,5000,1000000,69.0,65.0,64.0,73.0,50.0,66.0,989350.0
5945,J. Huth,Germany,SC Paderborn 07,25,8000,1000000,70.0,65.0,74.0,72.0,55.0,66.0,972750.0
5965,Z. Clark,Scotland,St. Johnstone FC,27,3000,950000,66.0,65.0,70.0,75.0,31.0,70.0,933450.0
5966,J. Blackman,England,Chelsea,25,26000,1000000,70.0,69.0,63.0,73.0,27.0,66.0,988000.0
5969,B. Uphoff,Germany,Karlsruher SC,25,5000,1000000,69.0,67.0,68.0,71.0,38.0,66.0,1004625.0
5976,M. van der Hart,Netherlands,Lech Poznań,25,4000,1000000,73.0,64.0,69.0,71.0,42.0,66.0,931375.0
5985,M. Crépeau,Canada,Vancouver Whitecaps FC,25,3000,1000000,68.0,67.0,67.0,70.0,50.0,69.0,861200.0
5988,G. Gallon,France,ESTAC Troyes,26,3000,975000,69.0,67.0,66.0,70.0,40.0,68.0,956125.0
6003,A. Jovanović,Serbia,SD Huesca,26,3000,975000,70.0,66.0,66.0,68.0,22.0,70.0,903850.0
6014,D. Rudd,England,Preston North End,28,10000,950000,71.0,64.0,64.0,73.0,50.0,65.0,773725.0
6022,C. Coosemans,Belgium,KAA Gent,26,7000,950000,70.0,63.0,70.0,72.0,45.0,68.0,924325.0
6054,J. Chunga,Colombia,Junior FC,27,2000,925000,76.0,62.0,69.0,71.0,42.0,63.0,796225.0
6091,Kim Seung Gyu,Korea Republic,Ulsan Hyundai FC,28,3000,925000,69.0,65.0,72.0,70.0,36.0,70.0,934000.0
6111,C. Maxwell,Wales,Hibernian,28,4000,925000,68.0,67.0,69.0,71.0,42.0,67.0,945250.0
6112,M. Michel,France,AJ Auxerre,27,3000,875000,69.0,67.0,64.0,71.0,49.0,68.0,880625.0
6120,E. Chaux,Colombia,Patriotas Boyacá FC,27,1000,875000,69.0,65.0,60.0,74.0,46.0,68.0,938450.0
6126,M. Yıldırım,Turkey,Sivasspor,28,6000,925000,70.0,67.0,62.0,70.0,25.0,70.0,914075.0
6127,A. Vural,Turkey,Sivasspor,28,6000,925000,72.0,63.0,61.0,74.0,45.0,68.0,902775.0
6133,C. Riegler,Austria,SKN St. Pölten,27,6000,875000,69.0,66.0,61.0,73.0,30.0,65.0,892625.0
6140,J. Borgueray,Ecuador,Ecuador,29,0,0,65.0,63.0,61.0,73.0,50.0,69.0,7400.0
6143,Y. Thoelen,Belgium,KV Mechelen,28,6000,875000,67.0,72.0,65.0,69.0,39.0,68.0,798950.0
6179,Ricardo Ribeiro,Portugal,FC Paços de Ferreira,29,4000,850000,67.0,73.0,63.0,68.0,42.0,70.0,624775.0
6181,M. Kolke,Germany,FC Hansa Rostock,28,2000,875000,70.0,65.0,59.0,74.0,44.0,67.0,837000.0
6235,J. Gillet,Belgium,Standard de Liège,40,3000,110000,65.0,72.0,69.0,67.0,39.0,75.0,122500.0
6236,B. Castro,Belgium,KV Mechelen,36,4000,180000,69.0,69.0,50.0,68.0,35.0,75.0,360300.0
6237,M. Agazzi,Italy,US Cremonese,34,2000,450000,71.0,63.0,69.0,70.0,41.0,66.0,459075.0
6238,N. Mäenpää,Finland,Bristol City,34,14000,450000,70.0,69.0,65.0,66.0,37.0,66.0,443275.0
6240,K. Stuhr-Ellegaard,Denmark,IF Elfsborg,36,1000,180000,66.0,71.0,68.0,65.0,38.0,69.0,192975.0
6247,A. Rosati,Italy,Torino,36,9000,180000,68.0,69.0,46.0,68.0,31.0,70.0,222800.0
6259,D. Ousted,Denmark,Chicago Fire,34,3000,450000,68.0,69.0,66.0,68.0,37.0,67.0,490275.0
6264,J. Young,England,Brisbane Roar,33,2000,575000,67.0,67.0,64.0,69.0,47.0,65.0,579375.0
6272,T. Carson,Northern Ireland,Motherwell,31,3000,675000,75.0,69.0,60.0,63.0,52.0,68.0,779925.0
6276,F. Fielding,England,Millwall,31,6000,675000,67.0,67.0,60.0,74.0,40.0,66.0,689125.0
6293,J. Herrera,Chile,Universidad de Chile,38,3000,110000,70.0,66.0,72.0,67.0,55.0,68.0,101775.0
6296,P. Tytoń,Poland,FC Cincinnati,32,3000,650000,67.0,64.0,66.0,72.0,50.0,69.0,609775.0
6302,P. Hansson,Sweden,Helsingborgs IF,33,2000,575000,74.0,58.0,71.0,72.0,40.0,65.0,576375.0
6307,V. Mannone,Italy,Minnesota United FC,31,3000,675000,67.0,69.0,67.0,69.0,60.0,69.0,691625.0
6314,D. Stockdale,England,Birmingham City,33,6000,575000,68.0,64.0,75.0,72.0,31.0,66.0,592675.0
6318,T. Kirschbaum,Germany,VVV-Venlo,32,3000,650000,72.0,67.0,68.0,71.0,27.0,62.0,1172450.0
6329,A. Blanco,Mexico,Pachuca,31,8000,675000,66.0,69.0,65.0,71.0,55.0,68.0,671375.0
6339,D. Petrić,Serbia,FC Nantes,31,9000,675000,70.0,62.0,59.0,72.0,43.0,71.0,688100.0
6348,M. Vigorito,Italy,Lecce,29,7000,750000,70.0,67.0,63.0,73.0,44.0,66.0,813250.0
6385,P. Abrahamsson,Sweden,BK Häcken,30,2000,700000,69.0,70.0,68.0,68.0,42.0,67.0,667875.0
6394,R. Romo,Venezuela,Venezuela,29,0,0,66.0,63.0,61.0,73.0,50.0,69.0,9750.0
6415,C. Lampe,Bolivia,Bolivia,32,0,0,66.0,71.0,62.0,70.0,32.0,68.0,770575.0
6419,B. Leroy,France,AC Ajaccio,30,2000,700000,70.0,68.0,67.0,68.0,39.0,67.0,809775.0
6470,Nicolas,Brazil,Udinese,31,6000,675000,71.0,69.0,64.0,71.0,43.0,67.0,689475.0
6494,B. Sangaré,Ivory Coast,Côte d'Ivoire,33,0,0,73.0,67.0,63.0,68.0,42.0,67.0,1005325.0
6501,C. Bejarano,Equatorial Guinea,Deportivo Pasto,34,1000,450000,70.0,66.0,59.0,72.0,56.0,65.0,502125.0
6508,D. Sánchez,Chile,Unión Española,32,3000,650000,72.0,68.0,68.0,70.0,47.0,63.0,775100.0
6517,N. Ibáñez,Argentina,Newell's Old Boys,37,4000,110000,74.0,65.0,75.0,71.0,45.0,68.0,950050.0
6521,G. Sara,Argentina,Club Atlético Lanús,31,7000,675000,70.0,64.0,67.0,73.0,40.0,68.0,732750.0
6537,I. Vargić,Croatia,Lazio,32,14000,650000,68.0,67.0,65.0,72.0,21.0,69.0,713375.0
6542,F. Pellegrino,Argentina,Club Atlético Huracán,33,6000,575000,66.0,74.0,57.0,67.0,37.0,70.0,338475.0
6559,P. Mina,Colombia,Deportivo Cali,33,1000,575000,71.0,69.0,66.0,73.0,43.0,64.0,617300.0
6561,A. Aguilar,Paraguay,Paraguay,30,0,0,75.0,62.0,64.0,72.0,46.0,66.0,135775.0
6566,Luciano Cacheira,Brazil,Fortaleza,35,3000,280000,76.0,62.0,77.0,76.0,31.0,55.0,472600.0
6574,Kaíque Mutto,Brazil,Atlético Mineiro,27,11000,750000,79.0,55.0,66.0,83.0,42.0,55.0,898750.0
6575,Ailton Cardenhas,Brazil,Santos,31,12000,675000,68.0,70.0,70.0,69.0,24.0,76.0,660225.0
6590,C. Cáceda,Peru,Peru,27,0,0,69.0,69.0,65.0,72.0,29.0,71.0,125800.0
6592,H. Yılmaz,Turkey,Alanyaspor,35,3000,280000,69.0,65.0,60.0,72.0,26.0,69.0,362900.0
6618,Mateus Pasinato,Brazil,Moreirense FC,27,4000,750000,69.0,66.0,71.0,66.0,21.0,70.0,708625.0
6621,M. Genesh,Egypt,Egypt,32,0,0,69.0,70.0,62.0,68.0,30.0,72.0,42600.0
6666,M. Svilar,Belgium,SL Benfica,19,2000,1300000,71.0,65.0,63.0,70.0,59.0,64.0,1096625.0
6683,M. Prévot,France,FC Sochaux-Montbéliard,22,2000,1200000,68.0,66.0,67.0,70.0,34.0,68.0,1191500.0
6686,A. Ramsdale,England,Bournemouth,21,11000,1200000,68.0,66.0,65.0,71.0,49.0,66.0,696125.0
6694,R. Ramírez,Argentina,Godoy Cruz,22,3000,1100000,69.0,67.0,58.0,72.0,49.0,66.0,1096750.0
6695,K. Kotsaris,Greece,Panathinaikos FC,22,1000,1100000,70.0,65.0,60.0,73.0,48.0,67.0,1007900.0
6701,B. Radunović,Serbia,Hellas Verona,23,4000,1100000,69.0,68.0,64.0,71.0,41.0,69.0,1270375.0
6702,P. Dahlberg,Sweden,Watford,20,11000,1100000,68.0,65.0,66.0,69.0,28.0,66.0,1078125.0
6718,Josep Martínez,Spain,UD Las Palmas,21,2000,1100000,70.0,68.0,64.0,69.0,27.0,67.0,1076875.0
6720,A. Šemper,Croatia,Chievo Verona,21,1000,1100000,71.0,66.0,63.0,66.0,19.0,68.0,635600.0
6766,D. Phillips,England,Charlton Athletic,24,4000,1000000,69.0,66.0,61.0,72.0,45.0,68.0,985000.0
6806,R. Cordano,Bolivia,Bolivia,20,0,0,71.0,67.0,65.0,72.0,29.0,70.0,1560500.0
6819,A. Fulignati,Italy,Ascoli,24,1000,950000,70.0,63.0,65.0,69.0,47.0,68.0,927950.0
6831,P. Pentz,Austria,FK Austria Wien,22,4000,950000,66.0,65.0,74.0,73.0,54.0,68.0,864750.0
6853,J. Højbjerg,Denmark,Esbjerg fB,24,4000,925000,70.0,64.0,66.0,69.0,47.0,67.0,913900.0
6855,J. Lumley,England,Queens Park Rangers,24,3000,925000,69.0,67.0,67.0,68.0,45.0,64.0,904000.0
6867,M. Schwäbe,Germany,Brøndby IF,24,5000,925000,70.0,65.0,73.0,69.0,46.0,64.0,923750.0
6893,D. Bentley,England,Bristol City,25,11000,875000,70.0,64.0,62.0,69.0,44.0,67.0,804675.0
6897,R. Matthews,England,Bolton Wanderers,25,2000,875000,69.0,67.0,67.0,69.0,43.0,67.0,878625.0
6925,L. Pirard,Belgium,Waasland-Beveren,24,3000,900000,69.0,68.0,64.0,71.0,34.0,64.0,910750.0
6955,G. Bushchan,Ukraine,Dynamo Kyiv,25,1000,875000,68.0,60.0,70.0,71.0,28.0,68.0,630250.0
6959,S. Şahin-Radlinger,Austria,Barnsley,26,4000,850000,70.0,62.0,59.0,71.0,39.0,68.0,833000.0
6960,C. Ripley,England,Preston North End,26,8000,850000,69.0,69.0,67.0,70.0,35.0,68.0,885875.0
6963,Neto,Brazil,América de Cali,26,1000,850000,69.0,66.0,74.0,71.0,48.0,65.0,850750.0
6966,N. Lomb,Germany,Bayer 04 Leverkusen,25,14000,850000,70.0,64.0,66.0,71.0,39.0,65.0,836250.0
6967,M. Kuster,Austria,SV Mattersburg,25,6000,850000,67.0,70.0,63.0,68.0,30.0,66.0,781925.0
6974,G. Castellón,Chile,CD Huachipato,25,2000,850000,66.0,63.0,57.0,72.0,41.0,66.0,804125.0
6983,T. Miller,United States,Los Angeles FC,26,3000,850000,69.0,65.0,66.0,68.0,32.0,67.0,872500.0
6989,Ratón,Spain,Real Zaragoza,26,3000,850000,64.0,69.0,68.0,68.0,50.0,67.0,792325.0
7006,Mika,Portugal,Os Belenenses,28,3000,800000,70.0,65.0,66.0,70.0,34.0,68.0,954375.0
7019,P. Iliev,Bulgaria,Bulgaria,27,0,0,69.0,60.0,67.0,75.0,49.0,70.0,122400.0
7023,N. Bertrams,Netherlands,FC Nordsjælland,26,4000,800000,68.0,67.0,64.0,68.0,51.0,66.0,763250.0
7026,F. Bednarek,Poland,SC Heerenveen,26,3000,800000,66.0,65.0,64.0,70.0,43.0,68.0,776875.0
7032,K. Roos,Netherlands,Derby County,27,8000,775000,72.0,65.0,69.0,68.0,41.0,67.0,819500.0
7039,C. Bonilla,Colombia,La Equidad,26,1000,800000,70.0,67.0,65.0,71.0,55.0,64.0,792750.0
7059,B. Allain,France,Olympiacos CFP,27,1000,775000,70.0,65.0,68.0,69.0,38.0,65.0,821875.0
7077,M. Hansen,Denmark,Strømsgodset IF,29,2000,750000,65.0,66.0,65.0,66.0,49.0,70.0,740125.0
7087,D. Bingham,United States,LA Galaxy,29,3000,750000,70.0,64.0,71.0,71.0,39.0,66.0,718525.0
7114,F. De Paul,Chile,Universidad de Chile,28,4000,775000,67.0,68.0,62.0,71.0,41.0,67.0,785250.0
7124,B. Amos,England,Charlton Athletic,29,6000,725000,65.0,68.0,70.0,71.0,47.0,65.0,710575.0
7125,S. Bruzzese,Belgium,KV Kortrijk,30,5000,700000,69.0,62.0,66.0,69.0,41.0,68.0,702375.0
7126,J. Grahl,Germany,VfB Stuttgart,30,8000,700000,72.0,62.0,60.0,73.0,45.0,65.0,655675.0
7127,J. Steele,England,Brighton & Hove Albion,28,14000,750000,68.0,66.0,71.0,68.0,35.0,67.0,671825.0
7130,O. Jansson,Sweden,Örebro SK,28,2000,750000,70.0,64.0,64.0,69.0,30.0,68.0,736750.0
7133,A. Kovácsik,Hungary,Hungary,28,0,0,67.0,63.0,62.0,75.0,48.0,70.0,21800.0
7134,J. Delle,France,Orlando Pirates,29,1000,725000,68.0,67.0,64.0,69.0,49.0,67.0,716375.0
7141,A. Letellier,France,Sarpsborg 08 FF,28,2000,750000,67.0,67.0,61.0,71.0,38.0,66.0,808000.0
7142,M. Gorgelin,France,Le Havre AC,28,3000,750000,73.0,64.0,70.0,71.0,48.0,62.0,745350.0
7156,A. Weis,Germany, SSV Jahn Regensburg,29,5000,725000,71.0,66.0,63.0,74.0,39.0,59.0,776675.0
7179,D. Novoa,Colombia,La Equidad,30,1000,700000,64.0,76.0,73.0,64.0,48.0,68.0,646425.0
7181,I. González,Chile,CD Palestino,29,2000,725000,66.0,65.0,61.0,72.0,48.0,67.0,704550.0
7192,Gu Chao,China PR,Jiangsu Suning FC,29,6000,725000,70.0,64.0,67.0,72.0,49.0,62.0,717250.0
7218,L. Steele,England,Millwall,34,5000,400000,68.0,66.0,63.0,71.0,51.0,66.0,435650.0
7224,E. Jakupović,Switzerland,Leicester City,34,19000,400000,69.0,68.0,66.0,66.0,30.0,69.0,412725.0
7226,U. Ceylan,Turkey,Yeni Malatyaspor,33,5000,475000,69.0,69.0,63.0,67.0,55.0,69.0,433050.0
7228,A. Lindegaard,Denmark,Helsingborgs IF,35,1000,240000,69.0,70.0,69.0,68.0,50.0,65.0,268850.0
7235,J. Alvbåge,Sweden,IK Sirius,36,1000,150000,62.0,71.0,64.0,62.0,38.0,72.0,156250.0
7238,R. Pleșca,Romania,Gaz Metan Mediaş,36,2000,150000,65.0,67.0,68.0,64.0,35.0,71.0,138250.0
7242,Casto,Spain,Extremadura UD,37,2000,90000,70.0,64.0,65.0,67.0,54.0,66.0,89500.0
7250,Q. Westberg,United States,Toronto FC,33,3000,475000,66.0,65.0,64.0,68.0,45.0,69.0,482925.0
7260,M. McGovern,Northern Ireland,Norwich City,34,13000,400000,69.0,65.0,64.0,69.0,33.0,68.0,433075.0
7264,A. Kwarasey,Ghana,Vålerenga Fotball,31,2000,575000,66.0,66.0,65.0,68.0,56.0,65.0,546375.0
7268,F. Öztürk,Turkey,Kasimpaşa SK,32,5000,550000,70.0,62.0,64.0,70.0,56.0,68.0,648000.0
7278,J. Fejzić,Bosnia Herzegovina,Eintracht Braunschweig,33,2000,475000,69.0,65.0,59.0,74.0,27.0,66.0,510475.0
7283,J. Zimmermann,Germany,Eintracht Frankfurt,34,9000,400000,68.0,67.0,59.0,69.0,46.0,68.0,420750.0
7284,J. MacDonald,Scotland,Kilmarnock,33,3000,475000,71.0,64.0,65.0,71.0,22.0,66.0,525825.0
7285,M. Andersen,Denmark,FC Midtjylland,30,7000,600000,68.0,65.0,60.0,69.0,38.0,70.0,546450.0
7288,J. Moulin,France,AS Saint-Étienne,33,9000,475000,70.0,70.0,65.0,70.0,52.0,66.0,509125.0
7291,M. Knaller,Austria,FC Ingolstadt 04,32,3000,550000,68.0,68.0,49.0,71.0,43.0,66.0,554875.0
7292,D. Button,England,Brighton & Hove Albion,30,13000,600000,70.0,68.0,65.0,68.0,53.0,65.0,582250.0
7303,M. Pinto,Chile,CD O'Higgins,35,2000,240000,70.0,63.0,68.0,68.0,55.0,62.0,714750.0
7307,P. Klandt,Germany,1. FC Nürnberg,35,3000,240000,69.0,68.0,64.0,67.0,41.0,67.0,571425.0
7311,R. Zwinkels,Netherlands,ADO Den Haag,36,2000,150000,66.0,64.0,66.0,68.0,40.0,74.0,700875.0
7327,W. Sandilands,South Africa,Orlando Pirates,35,1000,240000,66.0,70.0,67.0,68.0,53.0,68.0,275425.0
7364,W. Yarbrough,United States,Club León,30,8000,600000,67.0,62.0,70.0,68.0,57.0,68.0,593750.0
7369,P. Garcés,Chile,CD Antofagasta,34,2000,400000,69.0,66.0,69.0,68.0,36.0,68.0,426925.0
7372,A. Pomini,Italy,Venezia FC,38,1000,90000,65.0,66.0,62.0,69.0,41.0,71.0,122850.0
7386,D. Hernández,Venezuela,CD Tenerife,33,3000,475000,71.0,66.0,59.0,67.0,32.0,66.0,521750.0
7417,P. Kovář,Czech Republic,SK Slavia Praha,33,1000,475000,69.0,62.0,69.0,69.0,34.0,66.0,475500.0
7430,A. Shafi,Jordan,Al Fayha,37,4000,90000,67.0,64.0,78.0,71.0,36.0,65.0,149450.0
7432,E. Taşkıran,Turkey,Atiker Konyaspor,29,6000,625000,66.0,67.0,64.0,68.0,54.0,67.0,618125.0
7439,F. Farnolle,Benin,Yeni Malatyaspor,34,5000,400000,69.0,68.0,65.0,64.0,42.0,68.0,396150.0
7471,Kim Jin Hyeon,Korea Republic,Cerezo Osaka,31,3000,575000,67.0,65.0,61.0,69.0,47.0,68.0,574025.0
7481,A. Kochenkov,Russia,Lokomotiv Moscow,32,1000,550000,65.0,66.0,67.0,71.0,47.0,67.0,555875.0
7504,F. Kaplan,Turkey,Antalyaspor,30,5000,600000,63.0,68.0,70.0,67.0,46.0,68.0,536650.0
7507,A. Harush,Israel,Sparta Rotterdam,31,3000,575000,74.0,63.0,63.0,70.0,36.0,67.0,589000.0
7508,H. Halldórsson,Iceland,Iceland,35,0,0,69.0,61.0,62.0,69.0,38.0,68.0,480875.0
7551,L. Castellanos,Colombia,Independiente Santa Fe,35,1000,240000,67.0,66.0,59.0,70.0,43.0,67.0,311275.0
7579,S. Gonda,Japan,Portimonense SC,30,3000,600000,67.0,67.0,63.0,71.0,44.0,66.0,618125.0
7587,E. Hernández,Uruguay,Envigado FC,33,1000,475000,64.0,67.0,73.0,70.0,51.0,69.0,528625.0
7653,Márcio Velinha,Brazil,Chapecoense,31,5000,575000,69.0,62.0,75.0,73.0,39.0,65.0,565325.0
7677,D. Zagorac,Croatia,Dinamo Zagreb,32,1000,550000,70.0,68.0,67.0,69.0,44.0,66.0,581625.0
7681,G. Ortiz,Paraguay,Once Caldas,30,1000,600000,70.0,67.0,64.0,70.0,30.0,66.0,645625.0
7685,D. Rusu,Moldova,Politehnica Iaşi,28,3000,650000,67.0,65.0,61.0,70.0,22.0,70.0,561125.0
7686,M. Gagliardo,Argentina,Arsenal de Sarandí,36,2000,150000,68.0,61.0,62.0,72.0,37.0,67.0,165750.0
7709,A. Muric,Kosovo,Nottingham Forest,20,7000,1400000,70.0,65.0,69.0,68.0,45.0,66.0,1332250.0
7725,K. Scherpen,Netherlands,Ajax,19,2000,1400000,67.0,66.0,64.0,69.0,42.0,66.0,1318125.0
7746,S. Jurado,Mexico,Tiburones Rojos de Veracruz,21,2000,1100000,68.0,63.0,65.0,70.0,29.0,69.0,1026875.0
7766,F. Woodman,England,Swansea City,22,6000,1000000,66.0,64.0,59.0,68.0,45.0,66.0,597875.0
7774,G. Coucke,Belgium,KRC Genk,20,3000,1100000,66.0,66.0,62.0,68.0,38.0,65.0,1050250.0
7794,A. Mitryushkin,Russia,FC Sion,23,6000,975000,68.0,64.0,66.0,65.0,36.0,69.0,918200.0
7799,L. Kelly,Scotland,Queens Park Rangers,23,2000,975000,68.0,65.0,72.0,69.0,39.0,68.0,982125.0
7801,R. de Boer,Netherlands,AZ Alkmaar,21,2000,975000,70.0,63.0,61.0,70.0,32.0,60.0,942875.0
7824,Cristian Rivero,Spain,Valencia CF,21,5000,975000,71.0,60.0,62.0,73.0,27.0,62.0,889250.0
7825,Y. Clementia,France,OGC Nice,21,5000,975000,67.0,66.0,66.0,70.0,37.0,64.0,830875.0
7842,N. Jackers,Belgium,KRC Genk,21,3000,925000,68.0,65.0,61.0,70.0,44.0,63.0,881375.0
7865,L. Badiashile,France,KSV Cercle Brugge,21,3000,925000,67.0,65.0,65.0,69.0,38.0,65.0,896250.0
7873,G. Vicario,Italy,Perugia,22,1000,925000,66.0,66.0,60.0,69.0,26.0,66.0,741625.0
7883,José Suárez,Spain,Girona FC,23,2000,875000,68.0,64.0,70.0,69.0,47.0,67.0,874250.0
7890,M. Zetterer,Germany,PEC Zwolle,23,2000,875000,68.0,66.0,71.0,70.0,42.0,64.0,877125.0
7896,Y. Urra,Chile,CD Huachipato,22,2000,875000,66.0,65.0,66.0,67.0,25.0,68.0,842625.0
7902,R. Descamps,France,Sporting de Charleroi,23,3000,875000,70.0,65.0,61.0,68.0,42.0,66.0,883250.0
7920,Zubiaurre,Spain,Real Sociedad,22,5000,875000,65.0,66.0,67.0,68.0,29.0,63.0,822750.0
7921,André Ferreira,Portugal,Santa Clara,23,1000,875000,68.0,67.0,56.0,70.0,39.0,65.0,871250.0
7942,Iván Villar,Spain,RC Celta,21,4000,825000,69.0,62.0,64.0,69.0,33.0,65.0,792500.0
7945,J. Devecchi,Argentina,San Lorenzo de Almagro,23,4000,825000,67.0,65.0,59.0,67.0,48.0,66.0,798625.0
7960,Miquel Parera,Spain,RCD Mallorca,23,5000,825000,72.0,64.0,62.0,72.0,37.0,61.0,838000.0
